ij:: 169,  row_id_ori: 2, col_id_ori: 41, row_id_new: 40, col_id_new: 68, permute_kk: 4, permute_index: 5188 

ij:: 170,  row_id_ori: 2, col_id_ori: 42, row_id_new: 42, col_id_new: 4, permute_kk: 4, permute_index: 5380 

ij:: 171,  row_id_ori: 2, col_id_ori: 43, row_id_new: 42, col_id_new: 68, permute_kk: 4, permute_index: 5444 

ij:: 172,  row_id_ori: 2, col_id_ori: 44, row_id_new: 44, col_id_new: 4, permute_kk: 4, permute_index: 5636 

ij:: 173,  row_id_ori: 2, col_id_ori: 45, row_id_new: 44, col_id_new: 68, permute_kk: 4, permute_index: 5700 

ij:: 174,  row_id_ori: 2, col_id_ori: 46, row_id_new: 46, col_id_new: 4, permute_kk: 4, permute_index: 5892 

ij:: 175,  row_id_ori: 2, col_id_ori: 47, row_id_new: 46, col_id_new: 68, permute_kk: 4, permute_index: 5956 

ij:: 176,  row_id_ori: 2, col_id_ori: 48, row_id_new: 48, col_id_new: 4, permute_kk: 4, permute_index: 6148 

ij:: 177,  row_id_ori: 2, col_id_ori: 49, row_id_new: 48, col_id_new: 68, permute_kk: 4, permute_index: 6212 

ij:: 178,  row_id_ori: 2, col_id_ori: 50, row_id_new: 50, col_id_new: 4, permute_kk: 4, permute_index: 6404 

ij:: 179,  row_id_ori: 2, col_id_ori: 51, row_id_new: 50, col_id_new: 68, permute_kk: 4, permute_index: 6468 

ij:: 180,  row_id_ori: 2, col_id_ori: 52, row_id_new: 52, col_id_new: 4, permute_kk: 4, permute_index: 6660 

ij:: 181,  row_id_ori: 2, col_id_ori: 53, row_id_new: 52, col_id_new: 68, permute_kk: 4, permute_index: 6724 

ij:: 182,  row_id_ori: 2, col_id_ori: 54, row_id_new: 54, col_id_new: 4, permute_kk: 4, permute_index: 6916 

ij:: 183,  row_id_ori: 2, col_id_ori: 55, row_id_new: 54, col_id_new: 68, permute_kk: 4, permute_index: 6980 

ij:: 184,  row_id_ori: 2, col_id_ori: 56, row_id_new: 56, col_id_new: 4, permute_kk: 4, permute_index: 7172 

ij:: 185,  row_id_ori: 2, col_id_ori: 57, row_id_new: 56, col_id_new: 68, permute_kk: 4, permute_index: 7236 

ij:: 186,  row_id_ori: 2, col_id_ori: 58, row_id_new: 58, col_id_new: 4, permute_kk: 4, permute_index: 7428 

ij:: 187,  row_id_ori: 2, col_id_ori: 59, row_id_new: 58, col_id_new: 68, permute_kk: 4, permute_index: 7492 

ij:: 188,  row_id_ori: 2, col_id_ori: 60, row_id_new: 60, col_id_new: 4, permute_kk: 4, permute_index: 7684 

ij:: 189,  row_id_ori: 2, col_id_ori: 61, row_id_new: 60, col_id_new: 68, permute_kk: 4, permute_index: 7748 

ij:: 190,  row_id_ori: 2, col_id_ori: 62, row_id_new: 62, col_id_new: 4, permute_kk: 4, permute_index: 7940 

ij:: 191,  row_id_ori: 2, col_id_ori: 63, row_id_new: 62, col_id_new: 68, permute_kk: 4, permute_index: 8004 

ij:: 192,  row_id_ori: 3, col_id_ori: 0, row_id_new: 0, col_id_new: 6, permute_kk: 6, permute_index: 6 

ij:: 193,  row_id_ori: 3, col_id_ori: 1, row_id_new: 0, col_id_new: 70, permute_kk: 6, permute_index: 70 

ij:: 194,  row_id_ori: 3, col_id_ori: 2, row_id_new: 2, col_id_new: 6, permute_kk: 6, permute_index: 262 

ij:: 195,  row_id_ori: 3, col_id_ori: 3, row_id_new: 2, col_id_new: 70, permute_kk: 6, permute_index: 326 

ij:: 196,  row_id_ori: 3, col_id_ori: 4, row_id_new: 4, col_id_new: 6, permute_kk: 6, permute_index: 518 

ij:: 197,  row_id_ori: 3, col_id_ori: 5, row_id_new: 4, col_id_new: 70, permute_kk: 6, permute_index: 582 

ij:: 198,  row_id_ori: 3, col_id_ori: 6, row_id_new: 6, col_id_new: 6, permute_kk: 6, permute_index: 774 

ij:: 199,  row_id_ori: 3, col_id_ori: 7, row_id_new: 6, col_id_new: 70, permute_kk: 6, permute_index: 838 

ij:: 200,  row_id_ori: 3, col_id_ori: 8, row_id_new: 8, col_id_new: 6, permute_kk: 6, permute_index: 1030 

